T	z	x1	u1	x2	u2	x3	u3	x4	u4	x5	u5	x6	u6	x7	u7	x8	u8	x9	u9	x10	u10
5330	0.480433	0.004126	0.928848	0.007244	0.747194	0.003977	0.836913	0.003801	0.937471	0.006136	0.540739	0.137154	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5335	0.478071	0.004114	0.926217	0.007686	0.753880	0.003673	0.851222	0.003869	0.934858	0.006218	0.533943	0.140219	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5340	0.471117	0.004921	0.917447	0.006257	0.758771	0.004281	0.864545	0.003055	0.935255	0.005736	0.521441	0.142331	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5345	0.467089	0.003577	0.912225	0.006402	0.760898	0.003967	0.865000	0.003454	0.932051	0.006927	0.520280	0.142662	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5350	0.463169	0.003107	0.907576	0.006551	0.772149	0.003714	0.866044	0.003946	0.928721	0.007476	0.522590	0.143256	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5355	0.463166	0.002881	0.906247	0.006087	0.775555	0.005312	0.867625	0.003570	0.930161	0.007322	0.526718	0.140171	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5360	0.460500	0.003346	0.893409	0.007136	0.786142	0.003591	0.867737	0.003452	0.933242	0.007384	0.526912	0.140037	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5365	0.461809	0.003610	0.892029	0.004719	0.779931	0.003205	0.883902	0.003631	0.930788	0.007145	0.511355	0.143008	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5370	0.464697	0.002961	0.887866	0.004453	0.786304	0.004339	0.887225	0.004183	0.928719	0.007705	0.516770	0.137022	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5375	0.463800	0.003438	0.885782	0.004135	0.778133	0.003745	0.891000	0.003534	0.920386	0.009058	0.508519	0.136634	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5380	0.466437	0.004368	0.884878	0.004425	0.778949	0.004386	0.898047	0.004888	0.916652	0.006346	0.503200	0.132075	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5385	0.471000	0.003779	0.885468	0.006027	0.779178	0.005919	0.901666	0.005287	0.919782	0.005249	0.492474	0.129548	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5390	0.470886	0.003516	0.892576	0.005270	0.766269	0.005471	0.896580	0.004121	0.916882	0.006398	0.487898	0.135218	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5395	0.467998	0.003498	0.895418	0.004249	0.773168	0.004897	0.893992	0.004589	0.916569	0.005667	0.490949	0.133732	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5400	0.469333	0.003155	0.899262	0.005896	0.764995	0.005842	0.895516	0.004152	0.919104	0.006267	0.483524	0.133986	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5405	0.469107	0.003321	0.895362	0.005631	0.765703	0.004964	0.897169	0.003509	0.914476	0.007701	0.480079	0.136196	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5410	0.469866	0.003261	0.888860	0.005800	0.774335	0.004538	0.898725	0.003098	0.911566	0.006824	0.472768	0.137191	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5415	0.469405	0.003251	0.883652	0.006589	0.770056	0.004482	0.896610	0.003695	0.920221	0.007899	0.473085	0.135417	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5420	0.467677	0.003628	0.887064	0.006207	0.769489	0.004994	0.890088	0.003097	0.926877	0.009732	0.484928	0.134689	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5425	0.467450	0.002949	0.900870	0.004976	0.775187	0.004429	0.892676	0.003197	0.930134	0.009602	0.474778	0.134734	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5430	0.463095	0.003576	0.906370	0.005210	0.772066	0.004236	0.899980	0.004040	0.929971	0.008694	0.473031	0.135194	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5435	0.466906	0.004117	0.908154	0.005296	0.765625	0.003896	0.893085	0.003838	0.930797	0.008116	0.478813	0.132955	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
